Hub	BAM	BED	BigBed	BigWig	CRAM	VCFTabix	
SRP038111	0	0	0	0	26	0	
SRP045548	0	0	0	0	3	0	
SRP033660	0	0	0	0	51	0	
SRP016635	0	0	0	0	12	0	
SRP006750	0	0	0	0	4	0	
SRP023101	0	0	0	0	1	0	
SRP031626	0	0	0	0	24	0	
SRP011979	0	0	0	0	7	0	
SRP036525	0	0	0	0	20	0	
ERP008812	0	0	0	0	1	0	
SRP054166	0	0	0	0	2	0	
SRP051213	0	0	0	0	71	0	
SRP027528	0	0	0	0	4	0	
ERP001962	0	0	0	0	1	0	
SRP060286	0	0	0	0	11	0	
ERP011838	0	0	0	0	66	0	
SRP021098	0	0	0	0	51	0	
DRP001761	0	0	0	0	16	0	
SRP028376	0	0	0	0	4	0	
SRP029997	0	0	0	0	2	0	
SRP058133	0	0	0	0	16	0	
SRP008821	0	0	0	0	11	0	
SRP011589	0	0	0	0	4	0	
SRP055954	0	0	0	0	1	0	
SRP041622	0	0	0	0	21	0	
SRP005700	0	0	0	0	8	0	
SRP051508	0	0	0	0	10	0	
SRP037713	0	0	0	0	12	0	
SRP018266	0	0	0	0	42	0	
SRP040808	0	0	0	0	2	0	
SRP018823	0	0	0	0	44	0	
SRP043418	0	0	0	0	24	0	
SRP049534	0	0	0	0	4	0	
SRP028231	0	0	0	0	10	0	
ERP009505	0	0	0	0	28	0	
SRP047144	0	0	0	0	23	0	
SRP028855	0	0	0	0	16	0	
SRP026260	0	0	0	0	6	0	
SRP052705	0	0	0	0	12	0	
SRP029897	0	0	0	0	2	0	
SRP017703	0	0	0	0	2	0	
SRP012592	0	0	0	0	10	0	
SRP041108	0	0	0	0	1	0	
SRP047035	0	0	0	0	24	0	
ERP004505	0	0	0	0	28	0	
SRP018537	0	0	0	0	1	0	
SRP056465	0	0	0	0	96	0	
SRP046456	0	0	0	0	84	0	
SRP049212	0	0	0	0	3	0	
SRP015327	0	0	0	0	2	0	
SRP011187	0	0	0	0	13	0	
SRP041907	0	0	0	0	3	0	
SRP039374	0	0	0	0	6	0	
SRP025919	0	0	0	0	1	0	
ERP004689	0	0	0	0	149	0	
SRP014002	0	0	0	0	6	0	
SRP014792	0	0	0	0	1	0	
SRP063421	0	0	0	0	8	0	
SRP044069	0	0	0	0	7	0	
SRP032173	0	0	0	0	18	0	
SRP063314	0	0	0	0	9	0	
SRP032947	0	0	0	0	6	0	
SRP013564	0	0	0	0	20	0	
SRP058688	0	0	0	0	2	0	
DRP000716	0	0	0	0	57	0	
SRP043070	0	0	0	0	2	0	
track_hub	0	0	3	0	0	0	
SRP006965	0	0	0	0	4	0	
SRP044687	0	0	0	0	4	0	
ERP008674	0	0	0	0	16	0	
SRP050148	0	0	0	0	4	0	
SRP012991	0	0	0	0	1	0	
SRP039458	0	0	0	0	6	0	
SRP056335	0	0	0	0	4	0	
SRP056839	0	0	0	0	4	0	
ERP007245	0	0	0	0	24	0	
SRP052029	0	0	0	0	22	0	
SRP042004	0	0	0	0	16	0	
SRP050162	0	0	0	0	9	0	
SRP048205	0	0	0	0	30	0	
SRP011991	0	0	0	0	8	0	
SRP026261	0	0	0	0	2	0	
SRP054165	0	0	0	0	4	0	
SRP057102	0	0	0	0	12	0	
SRP041183	0	0	0	0	33	0	
SRP036730	0	0	0	0	1	0	
SRP001477	0	0	0	0	2	0	
DRP000997	0	0	0	0	217	0	
ERP005565	0	0	0	0	5	0	
SRP035471	0	0	0	0	12	0	
ERP008813	0	0	0	0	1	0	
SRP045923	0	0	0	0	4	0	
SRP009136	0	0	0	0	5	0	
SRP016527	0	0	0	0	11	0	
SRP010105	0	0	0	0	3	0	
SRP068165	0	0	0	0	19	0	
SRP030771	0	0	0	0	4	0	
SRP019054	0	0	0	0	4	0	
SRP034962	0	0	0	0	3	0	
SRP056837	0	0	0	0	12	0	
SRP010096	0	0	0	0	1	0	
SRP061677	0	0	0	0	12	0	
SRP012587	0	0	0	0	10	0	
SRP012647	0	0	0	0	7	0	
DRP001156	0	0	0	0	2	0	
SRP036626	0	0	0	0	2	0	
SRP067728	0	0	0	0	7	0	
SRP042017	0	0	0	0	5	0	
SRP048829	0	0	0	0	36	0	
SRP034154	0	0	0	0	6	0	
SRP015787	0	0	0	0	6	0	
SRP045121	0	0	0	0	2	0	
ERP008782	0	0	0	0	1	0	
SRP029890	0	0	0	0	9	0	
SRP016593	0	0	0	0	12	0	
SRP035871	0	0	0	0	16	0	
SRP057200	0	0	0	0	7	0	
SRP011401	0	0	0	0	4	0	
SRP026258	0	0	0	0	3	0	
SRP055192	0	0	0	0	24	0	
SRP033322	0	0	0	0	3	0	
SRP015910	0	0	0	0	2	0	
SRP059709	0	0	0	0	21	0	
SRP006310	0	0	0	0	3	0	
SRP033023	0	0	0	0	11	0	
SRP035577	0	0	0	0	12	0	
SRP059592	0	0	0	0	21	0	
SRP017134	0	0	0	0	1	0	
SRP013556	0	0	0	0	8	0	
SRP017907	0	0	0	0	7	0	
SRP057260	0	0	0	0	6	0	
SRP048564	0	0	0	0	6	0	
SRP008348	0	0	0	0	2	0	
SRP042233	0	0	0	0	18	0	
SRP013336	0	0	0	0	6	0	
SRP035849	0	0	0	0	4	0	
SRP022916	0	0	0	0	36	0	
SRP051653	0	0	0	0	3	0	
SRP020528	0	0	0	0	4	0	
SRP040721	0	0	0	0	8	0	
ERP005862	0	0	0	0	12	0	
SRP013555	0	0	0	0	6	0	
SRP007395	0	0	0	0	3	0	
SRP058434	0	0	0	0	3	0	
SRP016026	0	0	0	0	11	0	
ERP009119	0	0	0	0	19	0	
SRP015339	0	0	0	0	251	0	
SRP055443	0	0	0	0	4	0	
SRP013835	0	0	0	0	21	0	
DRP000391	0	0	0	0	3	0	
SRP007361	0	0	0	0	24	0	
SRP062564	0	0	0	0	4	0	
SRP045762	0	0	0	0	2	0	
SRP045512	0	0	0	0	14	0	
SRP042795	0	0	0	0	19	0	
ERP010515	0	0	0	0	2	0	
SRP051670	0	0	0	0	2	0	
SRP042322	0	0	0	0	2	0	
SRP054170	0	0	0	0	4	0	
SRP011929	0	0	0	0	2	0	
SRP063017	0	0	0	0	24	0	
